[2023-10-19 10:42:03.914] INFO    configserver     Container.com.yahoo.jdisc.http.server.jetty.JettyHttpServer	Threadpool size: min=64, max=64
[2023-10-19 10:42:04.405] INFO    configserver     Container.com.yahoo.container.handler.threadpool.ContainerThreadpoolImpl	Threadpool 'default-handler-common': min=96, max=96, queue=3840
[2023-10-19 10:42:04.667] INFO    configserver     Container.com.yahoo.container.jdisc.ConfiguredApplication	Switching to the latest deployed set of configurations and components. Application config generation: 0
[2023-10-19 10:42:09.317] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 15000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:42:13.488] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 6.000000 seconds
[2023-10-19 10:42:17.698] INFO    configproxy      configproxy.com.yahoo.vespa.config.JRTConnection	Connecting to tcp/vespa-container:19070
[2023-10-19 10:42:17.766] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:42:37.631] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:42:37.642] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:42:45.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:42:49.525] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 7.000000 seconds
[2023-10-19 10:43:21.639] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:43:21.647] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:43:22.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:43:26.567] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 8.000000 seconds
[2023-10-19 10:44:00.317] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:44:04.607] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 9.000000 seconds
[2023-10-19 10:44:05.646] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
